timestamp,thread_label,utilization,frequency
2023-03-25 15:44:41.476688227 +05:30,cpu0,19.594595,951
2023-03-25 15:44:41.477012231 +05:30,cpu1,18.367348,938
2023-03-25 15:44:41.477066492 +05:30,cpu2,17.123287,981
2023-03-25 15:44:41.477110565 +05:30,cpu3,17.687075,740
2023-03-25 15:44:41.477153917 +05:30,cpu4,21.621622,1060
2023-03-25 15:44:41.477198462 +05:30,cpu5,17.241379,1016
2023-03-25 15:44:41.477241426 +05:30,cpu6,17.687075,939
2023-03-25 15:44:41.477284116 +05:30,cpu7,17.931036,1044
2023-03-25 15:44:42.500634587 +05:30,cpu0,1.980198,1157
2023-03-25 15:44:42.500836973 +05:30,cpu1,1.9607844,1211
2023-03-25 15:44:42.500888815 +05:30,cpu2,1.9607844,1137
2023-03-25 15:44:42.500929403 +05:30,cpu3,1.9607844,1167
2023-03-25 15:44:42.500968670 +05:30,cpu4,1.9607844,1182
2023-03-25 15:44:42.501008344 +05:30,cpu5,2.9411764,1223
2023-03-25 15:44:42.501047622 +05:30,cpu6,0.990099,1197
2023-03-25 15:44:42.501086670 +05:30,cpu7,1.9607844,1180
2023-03-25 15:44:43.524743651 +05:30,cpu0,2.9126215,982
2023-03-25 15:44:43.524996694 +05:30,cpu1,0.990099,1013
2023-03-25 15:44:43.525100893 +05:30,cpu2,0.990099,972
2023-03-25 15:44:43.525161794 +05:30,cpu3,0.9803922,939
2023-03-25 15:44:43.525212220 +05:30,cpu4,1.9607844,951
2023-03-25 15:44:43.525273233 +05:30,cpu5,0.990099,965
2023-03-25 15:44:43.525327744 +05:30,cpu6,2.9126215,955
2023-03-25 15:44:43.525381737 +05:30,cpu7,2.9126215,970
2023-03-25 15:44:44.544550836 +05:30,cpu0,2.9411764,935
2023-03-25 15:44:44.544855237 +05:30,cpu1,7.692308,1146
2023-03-25 15:44:44.544952087 +05:30,cpu2,7.76699,761
2023-03-25 15:44:44.545033646 +05:30,cpu3,4.9504952,818
2023-03-25 15:44:44.545113031 +05:30,cpu4,3.883495,1159
2023-03-25 15:44:44.545162752 +05:30,cpu5,5.769231,849
2023-03-25 15:44:44.545204245 +05:30,cpu6,6.7307696,727
2023-03-25 15:44:44.545244406 +05:30,cpu7,3.9215689,806
2023-03-25 15:44:45.568513192 +05:30,cpu0,8.910892,1412
2023-03-25 15:44:45.568707813 +05:30,cpu1,6.930693,842
2023-03-25 15:44:45.568797334 +05:30,cpu2,5.940594,843
2023-03-25 15:44:45.568881266 +05:30,cpu3,6.8627453,1142
2023-03-25 15:44:45.568946721 +05:30,cpu4,8.7378645,974
2023-03-25 15:44:45.569005815 +05:30,cpu5,6.0,792
2023-03-25 15:44:45.569050867 +05:30,cpu6,7.920792,1388
2023-03-25 15:44:45.569092979 +05:30,cpu7,8.910892,1135
2023-03-25 15:44:46.588796015 +05:30,cpu0,8.823529,1449
2023-03-25 15:44:46.588940837 +05:30,cpu1,9.803922,1288
2023-03-25 15:44:46.589010374 +05:30,cpu2,9.803922,1121
2023-03-25 15:44:46.589058269 +05:30,cpu3,9.803922,1132
2023-03-25 15:44:46.589101537 +05:30,cpu4,7.8431377,1471
2023-03-25 15:44:46.589145110 +05:30,cpu5,8.823529,1134
2023-03-25 15:44:46.589187495 +05:30,cpu6,8.823529,1346
